date,user_submitted_review,title,total_purchased,customer_type
2019-02-24,it was okay,Secrets Of R For Advanced Students,5,Individual
2019-10-29,I learned a lot,Secrets Of R For Advanced Students,2,Business
2019-10-08,Hated it,Fundamentals of R For Beginners,3,Individual
2019-10-04,I learned a lot,R For Dummies,4,Individual
2019-05-27,Would not recommend,R Made Easy,2,Business
2019-02-07,A lot of material was not needed,R For Dummies,5,Business
2019-11-24,Would not recommend,Fundamentals of R For Beginners,2,Business
2019-01-09,The author's other books were better,R vs Python: An Essay,2,Individual
2019-08-30,Awesome!,Secrets Of R For Advanced Students,,Individual
2019-07-25,Never read a better book,R For Dummies,2,Business
2019-12-21,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-10-29,The author's other books were better,R vs Python: An Essay,,Business
2019-06-10,NA,Fundamentals of R For Beginners,3,Individual
2019-06-05,,R vs Python: An Essay,,Business
2019-04-04,Awesome!,R For Dummies,1,Individual
2019-09-17,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-08-25,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
2019-11-27,Never read a better book,Top 10 Mistakes R Beginners Make,3,Business
2019-05-27,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-11-09,it was okay,R vs Python: An Essay,,Business
2019-04-02,OK,Fundamentals of R For Beginners,2,Individual
2019-11-14,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
2019-10-01,,Secrets Of R For Advanced Students,4,Business
2019-08-13,,Fundamentals of R For Beginners,2,Individual
2019-06-13,I learned a lot,Fundamentals of R For Beginners,,Business
2019-02-08,it was okay,Secrets Of R For Advanced Students,5,Business
2019-08-29,Hated it,Fundamentals of R For Beginners,,Business
2019-07-01,I learned a lot,Secrets Of R For Advanced Students,7,Individual
2019-04-20,Never read a better book,R vs Python: An Essay,5,Individual
2019-12-07,Hated it,Fundamentals of R For Beginners,3,Individual
2019-03-21,The author's other books were better,Fundamentals of R For Beginners,,Business
2019-04-09,,Fundamentals of R For Beginners,9,Business
2019-09-10,,Secrets Of R For Advanced Students,8,Individual
2019-03-01,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2019-06-14,Never read a better book,R For Dummies,7,Individual
2019-05-22,OK,R vs Python: An Essay,7,Business
2019-12-13,Hated it,R For Dummies,6,Individual
2019-07-08,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
2019-09-17,A lot of material was not needed,R vs Python: An Essay,,Individual
2019-12-01,I learned a lot,R vs Python: An Essay,5,Business
2019-07-16,Awesome!,R For Dummies,2,Business
2019-10-23,The author's other books were better,R For Dummies,4,Individual
2019-01-17,,R For Dummies,6,Business
2019-10-04,I learned a lot,R For Dummies,5,Business
2019-03-04,,R For Dummies,5,Business
2019-12-02,A lot of material was not needed,Fundamentals of R For Beginners,8,Business
2019-09-29,Never read a better book,R For Dummies,,Business
2019-01-06,OK,Fundamentals of R For Beginners,7,Individual
2019-11-19,Awesome!,R For Dummies,4,Individual
2019-10-16,Awesome!,R For Dummies,5,Business
2019-04-06,OK,R For Dummies,3,Business
2019-11-16,Hated it,Fundamentals of R For Beginners,4,Business
2019-04-18,OK,R For Dummies,2,Individual
2019-10-23,Never read a better book,Secrets Of R For Advanced Students,3,Business
2019-01-31,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
2019-09-08,Would not recommend,R For Dummies,4,Individual
2019-06-03,I learned a lot,R For Dummies,2,Individual
2019-06-14,Awesome!,Fundamentals of R For Beginners,5,Individual
2019-01-14,OK,R vs Python: An Essay,3,Business
2019-09-17,NA,R For Dummies,3,Business
2019-04-19,A lot of material was not needed,R For Dummies,3,Individual
2019-03-15,A lot of material was not needed,R vs Python: An Essay,4,Business
2019-01-10,OK,Fundamentals of R For Beginners,3,Individual
2019-06-30,OK,R For Dummies,6,Business
2019-10-17,NA,Fundamentals of R For Beginners,,Individual
2019-12-11,Hated it,R For Dummies,3,Individual
2019-07-22,I learned a lot,R vs Python: An Essay,2,Business
2019-03-24,NA,Secrets Of R For Advanced Students,7,Business
2019-11-22,Never read a better book,R vs Python: An Essay,,Business
2019-06-29,Hated it,R For Dummies,1,Individual
2019-10-24,I learned a lot,R For Dummies,2,Business
2019-03-22,OK,R vs Python: An Essay,2,Business
2019-04-13,OK,R For Dummies,,Business
2019-05-09,Awesome!,R For Dummies,6,Business
2019-10-25,I learned a lot,R For Dummies,2,Business
2019-01-12,The author's other books were better,Fundamentals of R For Beginners,1,Individual
2019-04-16,NA,Fundamentals of R For Beginners,6,Business
2019-02-07,,Secrets Of R For Advanced Students,,Business
2019-10-13,it was okay,Fundamentals of R For Beginners,3,Individual
2019-08-07,A lot of material was not needed,R vs Python: An Essay,5,Business
2019-10-05,NA,R For Dummies,5,Business
2019-06-30,NA,Secrets Of R For Advanced Students,2,Business
2019-02-28,A lot of material was not needed,Fundamentals of R For Beginners,,Individual
2019-11-27,Never read a better book,R For Dummies,9,Business
2019-05-03,OK,Fundamentals of R For Beginners,5,Business
2019-10-26,Would not recommend,R For Dummies,6,Business
2019-04-07,Never read a better book,Fundamentals of R For Beginners,3,Business
2019-06-29,,Fundamentals of R For Beginners,1,Business
2019-02-20,I learned a lot,Top 10 Mistakes R Beginners Make,7,Business
2019-04-27,it was okay,Fundamentals of R For Beginners,7,Business
2019-07-12,Would not recommend,R For Dummies,3,Business
2019-08-13,The author's other books were better,R For Dummies,5,Business
2019-05-18,NA,Fundamentals of R For Beginners,2,Business
2019-04-04,Awesome!,R vs Python: An Essay,5,Individual
2019-08-11,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-06-21,Hated it,R For Dummies,5,Business
2019-01-06,Hated it,Secrets Of R For Advanced Students,,Business
2019-07-01,A lot of material was not needed,Fundamentals of R For Beginners,,Individual
2019-02-28,,Fundamentals of R For Beginners,3,Business
2019-02-12,it was okay,Fundamentals of R For Beginners,5,Individual
2019-03-01,Would not recommend,R For Dummies,3,Business
2019-09-09,OK,Fundamentals of R For Beginners,2,Individual
2019-01-11,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-05-09,Hated it,R For Dummies,,Business
2019-07-16,I learned a lot,Fundamentals of R For Beginners,2,Business
2019-06-24,OK,R For Dummies,,Individual
2019-12-16,Awesome!,Fundamentals of R For Beginners,4,Business
2019-09-27,it was okay,R For Dummies,7,Individual
2019-08-14,I learned a lot,Secrets Of R For Advanced Students,5,Business
2019-12-11,Would not recommend,R For Dummies,4,Business
2019-01-31,Hated it,Fundamentals of R For Beginners,4,Business
2019-12-29,Hated it,R vs Python: An Essay,5,Business
2019-04-23,I learned a lot,R For Dummies,6,Business
2019-05-11,The author's other books were better,R For Dummies,4,Individual
2019-01-18,OK,Fundamentals of R For Beginners,4,Business
2019-04-29,,Secrets Of R For Advanced Students,3,Individual
2019-07-11,A lot of material was not needed,R vs Python: An Essay,5,Individual
2019-06-08,The author's other books were better,R vs Python: An Essay,7,Business
2019-10-01,NA,Fundamentals of R For Beginners,3,Individual
2019-09-06,NA,R For Dummies,4,Individual
2019-02-11,Would not recommend,Fundamentals of R For Beginners,,Individual
2019-07-13,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2019-02-05,Awesome!,R For Dummies,,Individual
2019-11-15,Hated it,Fundamentals of R For Beginners,,Business
2019-12-13,,R vs Python: An Essay,3,Individual
2019-03-21,Hated it,R vs Python: An Essay,5,Individual
2019-03-31,OK,R vs Python: An Essay,6,Business
2019-05-28,Would not recommend,R vs Python: An Essay,4,Business
2019-06-19,Hated it,Fundamentals of R For Beginners,6,Business
2019-06-13,,Fundamentals of R For Beginners,5,Business
2019-04-09,Never read a better book,Fundamentals of R For Beginners,1,Business
2019-09-02,I learned a lot,R For Dummies,,Business
2019-07-20,,Fundamentals of R For Beginners,3,Business
2019-04-08,Awesome!,R For Dummies,6,Individual
2019-10-09,Awesome!,Fundamentals of R For Beginners,2,Business
2019-02-16,Hated it,R For Dummies,4,Business
2019-05-11,OK,Fundamentals of R For Beginners,3,Individual
2019-05-16,it was okay,Fundamentals of R For Beginners,9,Business
2019-10-24,I learned a lot,R For Dummies,2,Business
2019-04-04,Never read a better book,R For Dummies,7,Individual
2019-03-05,OK,Fundamentals of R For Beginners,1,Business
2019-06-20,NA,R For Dummies,4,Individual
2019-09-22,I learned a lot,R For Dummies,3,Business
2019-04-14,Would not recommend,Fundamentals of R For Beginners,3,Business
2019-09-20,OK,R For Dummies,,Individual
2019-01-02,OK,Fundamentals of R For Beginners,5,Business
2019-05-31,OK,Fundamentals of R For Beginners,2,Business
2019-08-21,Awesome!,Secrets Of R For Advanced Students,5,Business
2019-07-09,The author's other books were better,R For Dummies,10,Business
2019-08-22,Awesome!,R For Dummies,,Business
2019-09-20,Would not recommend,R For Dummies,6,Individual
2019-11-23,Would not recommend,Fundamentals of R For Beginners,,Business
2019-02-10,,R For Dummies,4,Individual
2019-03-16,Awesome!,R For Dummies,6,Business
2019-01-03,NA,R For Dummies,4,Individual
2019-07-21,Hated it,Fundamentals of R For Beginners,4,Business
2019-09-11,Awesome!,Fundamentals of R For Beginners,3,Individual
2019-04-21,NA,Fundamentals of R For Beginners,,Business
2019-04-17,Never read a better book,Fundamentals of R For Beginners,2,Business
2019-03-17,OK,Secrets Of R For Advanced Students,2,Individual
2019-04-16,Would not recommend,Secrets Of R For Advanced Students,2,Business
2019-02-23,OK,Fundamentals of R For Beginners,,Business
2019-11-18,OK,R vs Python: An Essay,2,Business
2019-01-07,Would not recommend,R For Dummies,4,Business
2019-09-05,Never read a better book,R For Dummies,6,Business
2019-06-09,Hated it,R For Dummies,7,Business
2019-06-17,Never read a better book,Secrets Of R For Advanced Students,,Individual
2019-09-20,Awesome!,R For Dummies,7,Business
2019-07-20,A lot of material was not needed,R For Dummies,4,Business
2019-05-25,,R For Dummies,4,Business
2019-04-05,The author's other books were better,R For Dummies,3,Individual
2019-11-24,Hated it,Secrets Of R For Advanced Students,6,Individual
2019-02-04,Hated it,Top 10 Mistakes R Beginners Make,2,Business
2019-08-17,Would not recommend,R vs Python: An Essay,,Business
2019-07-29,Would not recommend,R For Dummies,11,Business
2019-02-21,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-04-06,Would not recommend,Secrets Of R For Advanced Students,1,Individual
2019-03-05,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-11-28,OK,Fundamentals of R For Beginners,1,Business
2019-08-22,it was okay,Fundamentals of R For Beginners,2,Business
2019-10-24,Never read a better book,Top 10 Mistakes R Beginners Make,2,Individual
2019-07-30,Would not recommend,Secrets Of R For Advanced Students,0,Business
2019-11-02,OK,Fundamentals of R For Beginners,3,Business
2019-08-09,Awesome!,Fundamentals of R For Beginners,4,Business
2019-12-25,The author's other books were better,Secrets Of R For Advanced Students,6,Individual
2019-01-06,The author's other books were better,Fundamentals of R For Beginners,7,Business
2019-04-22,Never read a better book,R vs Python: An Essay,7,Individual
2019-12-02,Awesome!,R For Dummies,6,Individual
2019-02-20,,R Made Easy,9,Individual
2019-03-02,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-01-15,Awesome!,R For Dummies,3,Business
2019-07-02,A lot of material was not needed,R vs Python: An Essay,7,Business
2019-05-01,OK,Fundamentals of R For Beginners,4,Business
2019-11-01,The author's other books were better,R For Dummies,4,Business
2019-01-23,Would not recommend,R vs Python: An Essay,3,Individual
2019-01-23,Hated it,R For Dummies,4,Individual
2019-12-11,Never read a better book,Fundamentals of R For Beginners,6,Individual
2019-03-27,Hated it,R For Dummies,1,Business
2019-12-17,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-08-26,A lot of material was not needed,R For Dummies,3,Business
2019-08-02,Awesome!,R vs Python: An Essay,5,Business
2019-02-08,OK,Fundamentals of R For Beginners,7,Individual
2019-04-10,Awesome!,Fundamentals of R For Beginners,8,Individual
2019-04-04,OK,Fundamentals of R For Beginners,3,Business
2019-06-06,Would not recommend,R vs Python: An Essay,1,Business
2019-06-27,it was okay,R vs Python: An Essay,5,Individual
2019-03-18,The author's other books were better,Fundamentals of R For Beginners,8,Business
2019-09-22,Would not recommend,Secrets Of R For Advanced Students,7,Business
2019-04-13,it was okay,Secrets Of R For Advanced Students,3,Individual
2019-11-22,The author's other books were better,Fundamentals of R For Beginners,5,Individual
2019-07-20,it was okay,R vs Python: An Essay,7,Business
2019-08-02,The author's other books were better,R For Dummies,4,Individual
2019-08-19,Would not recommend,Secrets Of R For Advanced Students,4,Business
2019-04-02,Hated it,Secrets Of R For Advanced Students,5,Business
2019-12-01,Hated it,Fundamentals of R For Beginners,5,Business
2019-03-11,OK,R For Dummies,5,Business
2019-05-02,The author's other books were better,R For Dummies,3,Business
2019-08-05,The author's other books were better,Fundamentals of R For Beginners,1,Business
2019-07-02,NA,Fundamentals of R For Beginners,1,Individual
2019-12-07,A lot of material was not needed,Secrets Of R For Advanced Students,2,Business
2019-11-06,it was okay,R For Dummies,4,Individual
2019-10-16,NA,R For Dummies,4,Business
2019-08-21,A lot of material was not needed,Top 10 Mistakes R Beginners Make,6,Business
2019-04-04,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-02-19,,R vs Python: An Essay,7,Business
2019-09-28,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
2019-04-25,Awesome!,Fundamentals of R For Beginners,5,Individual
2019-06-10,NA,R vs Python: An Essay,6,Business
2019-10-13,NA,Fundamentals of R For Beginners,6,Business
2019-08-07,The author's other books were better,R For Dummies,8,Business
2019-09-08,Hated it,Fundamentals of R For Beginners,4,Business
2019-06-08,Hated it,Fundamentals of R For Beginners,,Business
2019-09-18,I learned a lot,Secrets Of R For Advanced Students,6,Individual
2019-09-29,Hated it,R For Dummies,,Business
2019-06-17,NA,Fundamentals of R For Beginners,2,Business
2019-10-14,NA,Fundamentals of R For Beginners,5,Individual
2019-02-28,I learned a lot,Fundamentals of R For Beginners,6,Business
2019-03-27,A lot of material was not needed,R For Dummies,1,Individual
2019-09-24,OK,R vs Python: An Essay,8,Business
2019-06-09,The author's other books were better,Fundamentals of R For Beginners,0,Business
2019-08-13,it was okay,Fundamentals of R For Beginners,4,Business
2019-01-27,NA,Fundamentals of R For Beginners,3,Individual
2019-02-03,Never read a better book,Secrets Of R For Advanced Students,3,Business
2019-07-28,,Fundamentals of R For Beginners,2,Business
2019-08-07,it was okay,R For Dummies,,Business
2019-04-02,The author's other books were better,R For Dummies,,Individual
2019-01-02,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-03-17,I learned a lot,Fundamentals of R For Beginners,2,Individual
2019-05-05,Never read a better book,R For Dummies,4,Business
2019-11-30,it was okay,Fundamentals of R For Beginners,3,Business
2019-07-23,,Fundamentals of R For Beginners,,Business
2019-03-07,The author's other books were better,Secrets Of R For Advanced Students,2,Business
2019-03-09,The author's other books were better,R vs Python: An Essay,3,Business
2019-07-24,NA,R For Dummies,,Business
2019-01-12,OK,R For Dummies,5,Business
2019-04-02,NA,R For Dummies,4,Individual
2019-06-04,it was okay,Secrets Of R For Advanced Students,5,Individual
2019-10-28,NA,R vs Python: An Essay,,Business
2019-12-04,OK,R vs Python: An Essay,7,Individual
2019-05-27,NA,Fundamentals of R For Beginners,5,Business
2019-06-27,OK,Fundamentals of R For Beginners,6,Business
2019-10-31,OK,Fundamentals of R For Beginners,4,Business
2019-01-05,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-09-27,The author's other books were better,R vs Python: An Essay,6,Business
2019-01-17,it was okay,R vs Python: An Essay,8,Business
2019-01-30,it was okay,R vs Python: An Essay,6,Business
2019-04-16,The author's other books were better,Fundamentals of R For Beginners,3,Business
2019-01-15,,R vs Python: An Essay,2,Business
2019-03-10,Never read a better book,Secrets Of R For Advanced Students,4,Individual
2019-12-09,Hated it,R For Dummies,3,Business
2019-10-05,OK,Secrets Of R For Advanced Students,,Business
2019-12-24,NA,R For Dummies,0,Business
2019-12-25,it was okay,Secrets Of R For Advanced Students,6,Individual
2019-03-05,Awesome!,R For Dummies,4,Business
2019-03-19,NA,Fundamentals of R For Beginners,2,Individual
2019-01-18,Awesome!,R For Dummies,1,Business
2019-08-17,I learned a lot,R For Dummies,,Business
2019-06-23,I learned a lot,R For Dummies,5,Business
2019-06-17,I learned a lot,Secrets Of R For Advanced Students,1,Business
2019-02-01,A lot of material was not needed,R For Dummies,6,Business
2019-06-24,A lot of material was not needed,R For Dummies,2,Business
2019-10-12,Hated it,Fundamentals of R For Beginners,8,Individual
2019-05-23,Would not recommend,R For Dummies,3,Individual
2019-12-12,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
2019-08-20,I learned a lot,Secrets Of R For Advanced Students,5,Business
2019-10-03,OK,R vs Python: An Essay,5,Business
2019-01-06,Awesome!,Fundamentals of R For Beginners,8,Business
2019-04-11,Never read a better book,Fundamentals of R For Beginners,2,Individual
2019-05-08,Never read a better book,R For Dummies,3,Individual
2019-07-05,I learned a lot,R For Dummies,3,Business
2019-08-23,A lot of material was not needed,R For Dummies,,Business
2019-07-27,Would not recommend,R vs Python: An Essay,3,Individual
2019-07-16,Awesome!,Fundamentals of R For Beginners,5,Business
2019-02-17,Would not recommend,R For Dummies,1,Business
2019-03-23,OK,R vs Python: An Essay,5,Business
2019-06-07,The author's other books were better,Fundamentals of R For Beginners,4,Business
2019-03-08,,Fundamentals of R For Beginners,2,Business
2019-09-21,Would not recommend,R For Dummies,5,Business
2019-03-22,it was okay,R vs Python: An Essay,,Business
2019-03-28,Awesome!,R Made Easy,4,Business
2019-04-05,A lot of material was not needed,R vs Python: An Essay,4,Individual
2019-08-03,The author's other books were better,R For Dummies,3,Business
2019-07-07,Hated it,R For Dummies,2,Individual
2019-01-12,Never read a better book,Fundamentals of R For Beginners,2,Business
2019-11-13,A lot of material was not needed,Fundamentals of R For Beginners,,Business
2019-11-16,OK,Fundamentals of R For Beginners,3,Business
2019-01-03,,R vs Python: An Essay,7,Business
2019-11-08,,R For Dummies,3,Business
2019-01-31,I learned a lot,Fundamentals of R For Beginners,2,Individual
2019-12-19,,R vs Python: An Essay,3,Business
2019-08-03,Hated it,Fundamentals of R For Beginners,1,Business
2019-01-13,I learned a lot,Fundamentals of R For Beginners,5,Business
2019-03-03,NA,Fundamentals of R For Beginners,2,Business
2019-08-11,OK,Secrets Of R For Advanced Students,7,Business
2019-11-13,OK,R For Dummies,7,Business
2019-08-02,OK,R For Dummies,3,Business
2019-07-16,,Fundamentals of R For Beginners,3,Business
2019-03-15,Awesome!,Fundamentals of R For Beginners,4,Business
2019-05-13,NA,R vs Python: An Essay,3,Individual
2019-05-16,Would not recommend,R vs Python: An Essay,4,Business
2019-11-24,it was okay,Fundamentals of R For Beginners,9,Individual
2019-12-02,OK,Secrets Of R For Advanced Students,,Business
2019-11-29,I learned a lot,Secrets Of R For Advanced Students,4,Business
2019-02-04,it was okay,Fundamentals of R For Beginners,3,Business
2019-07-23,OK,R For Dummies,5,Business
2019-05-03,,Fundamentals of R For Beginners,4,Business
2019-02-04,Hated it,Secrets Of R For Advanced Students,4,Business
2019-04-05,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-02-20,OK,Secrets Of R For Advanced Students,3,Business
2019-05-17,NA,R For Dummies,7,Business
2019-06-25,Never read a better book,R For Dummies,5,Business
2019-04-08,A lot of material was not needed,R For Dummies,1,Business
2019-02-11,,R vs Python: An Essay,1,Business
2019-08-05,OK,R For Dummies,4,Business
2019-05-04,The author's other books were better,R For Dummies,3,Business
2019-09-26,I learned a lot,R For Dummies,7,Business
2019-08-14,NA,Fundamentals of R For Beginners,2,Business
2019-03-06,it was okay,Fundamentals of R For Beginners,3,Individual
2019-09-30,A lot of material was not needed,Secrets Of R For Advanced Students,10,Business
2019-05-05,A lot of material was not needed,Fundamentals of R For Beginners,4,Individual
2019-11-16,Never read a better book,Secrets Of R For Advanced Students,,Individual
2019-04-29,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-05-07,OK,Fundamentals of R For Beginners,2,Business
2019-05-03,Never read a better book,R For Dummies,7,Business
2019-08-10,,R For Dummies,2,Business
2019-12-13,The author's other books were better,R vs Python: An Essay,8,Business
2019-02-26,Never read a better book,Fundamentals of R For Beginners,0,Business
2019-10-02,Awesome!,Fundamentals of R For Beginners,,Individual
2019-07-12,NA,R For Dummies,5,Business
2019-10-17,A lot of material was not needed,R For Dummies,2,Individual
2019-07-01,Hated it,R vs Python: An Essay,1,Business
2019-11-10,,R For Dummies,4,Business
2019-12-12,I learned a lot,Fundamentals of R For Beginners,4,Individual
2019-05-02,NA,Secrets Of R For Advanced Students,2,Business
2019-06-08,The author's other books were better,Secrets Of R For Advanced Students,8,Individual
2019-08-30,Hated it,R For Dummies,4,Business
2019-03-04,Hated it,R For Dummies,3,Individual
2019-05-05,I learned a lot,R vs Python: An Essay,3,Business
2019-05-19,OK,R vs Python: An Essay,1,Business
2019-02-19,NA,Fundamentals of R For Beginners,5,Business
2019-05-08,The author's other books were better,Fundamentals of R For Beginners,2,Business
2019-12-06,The author's other books were better,Secrets Of R For Advanced Students,7,Business
2019-04-28,I learned a lot,R For Dummies,7,Individual
2019-02-11,I learned a lot,R vs Python: An Essay,3,Business
2019-01-22,,R vs Python: An Essay,9,Business
2019-10-30,it was okay,Secrets Of R For Advanced Students,12,Business
2019-07-05,it was okay,R For Dummies,1,Business
2019-06-23,NA,Fundamentals of R For Beginners,4,Business
2019-12-12,it was okay,R For Dummies,,Business
2019-10-01,Would not recommend,R For Dummies,6,Business
2019-08-22,NA,Fundamentals of R For Beginners,3,Business
2019-07-30,I learned a lot,R For Dummies,4,Business
2019-02-21,it was okay,R For Dummies,2,Business
2019-09-16,OK,R For Dummies,5,Business
2019-04-30,,R For Dummies,6,Business
2019-10-16,,Secrets Of R For Advanced Students,5,Business
2019-06-22,I learned a lot,Secrets Of R For Advanced Students,3,Business
2019-08-11,Awesome!,Fundamentals of R For Beginners,,Individual
2019-02-26,OK,Fundamentals of R For Beginners,4,Individual
2019-09-04,Hated it,R For Dummies,6,Individual
2019-10-20,A lot of material was not needed,R vs Python: An Essay,6,Individual
2019-10-11,Hated it,Fundamentals of R For Beginners,4,Business
2019-04-08,Awesome!,Fundamentals of R For Beginners,6,Business
2019-06-22,Awesome!,R vs Python: An Essay,1,Business
2019-11-26,Would not recommend,Secrets Of R For Advanced Students,2,Business
2019-12-19,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
2019-12-29,I learned a lot,Secrets Of R For Advanced Students,3,Individual
2019-12-22,,R vs Python: An Essay,,Individual
